SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/1024,['sea slug' 'sports car' 'altar' 'pole' 'Arabian camel' 'espresso' 'cliff dwelling' 'projectile' 'drumstick' 'albatross'],51.40%,True,100,25,10,0.00100,0.00,32x32x3
random/1025,['American alligator' 'fur coat' 'potpie' 'umbrella' 'brown bear' 'jellyfish' 'sea cucumber' 'bucket' 'jinrikisha' 'chimpanzee'],57.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1025,['American alligator' 'fur coat' 'potpie' 'umbrella' 'brown bear' 'jellyfish' 'sea cucumber' 'bucket' 'jinrikisha' 'chimpanzee'],60.00%,True,100,25,10,0.00100,0.00,32x32x3
random/1026,['hog' 'torch' 'steel arch bridge' 'punching bag' 'birdhouse' 'monarch' 'guacamole' 'teapot' 'abacus' 'barn'],51.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1026,['hog' 'torch' 'steel arch bridge' 'punching bag' 'birdhouse' 'monarch' 'guacamole' 'teapot' 'abacus' 'barn'],53.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1027,['swimming trunks' 'sock' 'goldfish' 'sports car' 'sea slug' 'tabby' 'school bus' 'crane' 'lawn mower' 'limousine'],56.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1027,['swimming trunks' 'sock' 'goldfish' 'sports car' 'sea slug' 'tabby' 'school bus' 'crane' 'lawn mower' 'limousine'],57.60%,True,100,25,10,0.00100,0.00,32x32x3
random/1028,['tarantula' 'sunglasses' 'scorpion' 'iPod' 'bighorn' 'birdhouse' 'basketball' 'snorkel' 'black widow' 'triumphal arch'],45.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1028,['tarantula' 'sunglasses' 'scorpion' 'iPod' 'bighorn' 'birdhouse' 'basketball' 'snorkel' 'black widow' 'triumphal arch'],46.60%,True,100,25,10,0.00100,0.00,32x32x3
random/1029,['sombrero' 'beach wagon' 'stopwatch' 'basketball' 'iPod' 'limousine' 'steel arch bridge' 'dragonfly' 'drumstick' 'kimono'],47.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1029,['sombrero' 'beach wagon' 'stopwatch' 'basketball' 'iPod' 'limousine' 'steel arch bridge' 'dragonfly' 'drumstick' 'kimono'],50.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1030,['comic book' 'banana' 'stopwatch' 'mashed potato' 'boa constrictor' 'Persian cat' 'beach wagon' 'cliff dwelling' 'suspension bridge' 'jellyfish'],60.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1030,['comic book' 'banana' 'stopwatch' 'mashed potato' 'boa constrictor' 'Persian cat' 'beach wagon' 'cliff dwelling' 'suspension bridge' 'jellyfish'],61.20%,True,100,25,10,0.00100,0.00,32x32x3
random/1031,['beach wagon' 'scoreboard' 'pole' 'cash machine' 'Yorkshire terrier' 'vestment' 'bucket' 'albatross' 'candle' 'ice cream'],50.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1031,['beach wagon' 'scoreboard' 'pole' 'cash machine' 'Yorkshire terrier' 'vestment' 'bucket' 'albatross' 'candle' 'ice cream'],52.00%,True,100,25,10,0.00100,0.00,32x32x3
random/1032,['water jug' 'backpack' 'picket fence' 'viaduct' 'fountain' 'monarch' 'teddy' 'vestment' 'space heater' 'black stork'],50.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1032,['water jug' 'backpack' 'picket fence' 'viaduct' 'fountain' 'monarch' 'teddy' 'vestment' 'space heater' 'black stork'],52.00%,True,100,25,10,0.00100,0.00,32x32x3
random/1033,['flagpole' 'iPod' 'bison' 'maypole' 'guacamole' 'crane' 'broom' 'ladybug' 'parking meter' 'obelisk'],59.20%,False,100,25,10,0.00100,0.00,32x32x3
